timestamp,message_type,user_id,nickname,content,user_level,giver_id,giver_nickname,gift_name,combo_count,receiver_id,receiver_nickname,like_count,like_total,member_count,follow_count,display_short,display_middle,display_long,room_total
2025-09-16T21:28:36.014422,enter,MS4wLjABAAAAs66_TAR9jHJ8OrYWa8MhtRoQgTNDx6rhbK3h1PvC0rE,༄༅余生很暖༄༅,,,,,,,,,,,377035,,,,,
2025-09-16T21:28:36.017369,gift,,,,,MS4wLjABAAAA2yvOkEKfiOy5yd4bVTGfZG5kw56beBbSbW0SPZuTO6o,谷一灿,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:36.017399,message,MS4wLjABAAAArUvo8EABIa350UOWEB16cW-PrtLlNqXxOs-C7iQ63A7CgayDvJRPgBrhXC0ZYhtN,缘来,光头玉帝哥哥,,,,,,,,,,,,,,,
2025-09-16T21:28:36.017424,gift,,,,,MS4wLjABAAAAFYbg_0WbBwy-vMqHtFbmrOIAecxdaBmtQSDgPx30vDs,惠民鲜猪肉@梦梦,人气票,1,,,,,,,,,,
2025-09-16T21:28:36.017438,message,MS4wLjABAAAALkdTXNTLWoIKmgb6GK7I7_dalBvW9KLsqmZZ01ElH7aOIc6xOd18OunQd8vb-lh7,用户卫**,车车[赞],,,,,,,,,,,,,,,
2025-09-16T21:28:36.017448,message,MS4wLjABAAAA0KV0ps67OarEuB7gC0_JE2fv8AUGWXSMs7AIOzTeHqc,花果山老孙,好听[赞][赞][赞],,,,,,,,,,,,,,,
2025-09-16T21:28:36.606903,enter,MS4wLjABAAAAOIH_YxLAXsM_wsdezj8iPymt_LbM0ehyDoNyllc_Duu3nOxJ11jadYS3S6vYHAv4,秃头刘托尼,,,,,,,,,,,376250,,,,,
2025-09-16T21:28:36.606997,enter,MS4wLjABAAAAR9LniNIYuMSIDR4-Xz9pHVD4HQLx7GKe3si9J9sjiJE,李快许个愿,,,,,,,,,,,378843,,,,,
2025-09-16T21:28:36.607060,gift,,,,,MS4wLjABAAAAhpnzAPDTEjuWJB4Or5TUaRTJIJwk0c0zS8HbCPMJ0PY,我还是曾经那个少年。,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:36.607117,like,MS4wLjABAAAAt_1kN6A_gk1bzlSUywxCLk-vxdA2j3cZQ9EJ9PC6qNw5D-huX0qNrLnC-TRYGepm,工艺管道施工现场,,,,,,,,,30,10457577,,,,,,
2025-09-16T21:28:36.607150,enter,MS4wLjABAAAAmG5YZrAdYBLqQh2cgWqWQogZNcU0Qs8fhjgWJkHZG3o,双姐,,,,,,,,,,,378241,,,,,
2025-09-16T21:28:36.609802,enter,MS4wLjABAAAAlUtMT9nSiB-Ry7-0tfkNynpVL_tq3ZLlIhatfOZdhmY,奋斗的人生,,,,,,,,,,,377035,,,,,
2025-09-16T21:28:36.609833,enter,MS4wLjABAAAAtZCU73Q4FrvGj5MQVsvmodxNlZOVmod0JLCpAUgqMZyT7sd9GpvifrzmvL-P9piF,风波浪里,,,,,,,,,,,375453,,,,,
2025-09-16T21:28:36.609856,gift,,,,,MS4wLjABAAAAQYBfbdWp4tBOH30TlUSWUnFjeOpKAme5WjkekCvYLXI,胖哥666,点亮粉丝团,1,,,,,,,,,,
2025-09-16T21:28:36.609877,gift,,,,,MS4wLjABAAAAX_QBnWLsau7csrkAzrolYl0kL9uGxf2qkqyb0DTxtWs,家和万事兴2281409772750,点亮粉丝团,1,,,,,,,,,,
